Round,Avg Accuracy,Std Accuracy
0,0.0813,0.0000
1,0.5965,0.0000
2,0.8604,0.0000
3,0.8676,0.0000
4,0.8710,0.0000
5,0.8703,0.0000
6,0.8718,0.0000
7,0.8754,0.0000
8,0.8680,0.0000
9,0.8753,0.0000
10,0.8767,0.0000
11,0.8772,0.0000
12,0.8772,0.0000
13,0.8777,0.0000
14,0.8779,0.0000
15,0.8781,0.0000
16,0.8785,0.0000
17,0.8794,0.0000
18,0.8781,0.0000
19,0.8781,0.0000
20,0.8777,0.0000
21,0.8781,0.0000
22,0.8777,0.0000
23,0.8777,0.0000
24,0.8767,0.0000
25,0.8776,0.0000
26,0.8773,0.0000
27,0.8778,0.0000
28,0.8774,0.0000
29,0.8733,0.0000
30,0.8779,0.0000
31,0.8768,0.0000
32,0.8773,0.0000
33,0.8780,0.0000
34,0.8767,0.0000
35,0.8704,0.0000
36,0.8772,0.0000
37,0.8776,0.0000
38,0.8770,0.0000
39,0.8760,0.0000
40,0.8758,0.0000
41,0.8766,0.0000
42,0.8767,0.0000
43,0.8750,0.0000
44,0.8765,0.0000
45,0.8774,0.0000
46,0.8757,0.0000
47,0.8780,0.0000
48,0.8759,0.0000
49,0.8765,0.0000
50,0.8758,0.0000
